,Tweet_id,User,Content,Like_Count,Quote_Count,Reply_Count,Url,Date
72,1.6376E+18,MiExecSearch,UBS Agrees to Buy Rival Credit Suisse (New York Times) https://t.co/9DOC1Harbi https://t.co/csXbKWRfWp,0,0,0,https://twitter.com/MiExecSearch/status/1637603708086394882,2023-03-19 23:55:23+00:00
73,1.6376E+18,dreamfactoryci,The one big winner and many losers from the Credit Suisse bailout of?UBS https://t.co/fJZDyFqya9,1,0,0,https://twitter.com/dreamfactoryci/status/1637603658127798274,2023-03-19 23:55:11+00:00
74,1.6376E+18,emojizedcom,Investors lose faith in banking system. #CreditSuisse https://t.co/AR67mveAmf,0,0,0,https://twitter.com/emojizedcom/status/1637603630525169665,2023-03-19 23:55:05+00:00
75,1.6376E+18,vanWijkCapital,Still trying to piece together the exact implications of this $UBS bail out of Credit Suisse. However it sounds like even the people in UBS are trying to figure it out. A) How bad is that $CS book of business that this is being taped together,1,0,1,https://twitter.com/vanWijkCapital/status/1637603619380817928,2023-03-19 23:55:02+00:00
76,1.6376E+18,LourencoOlivei9,@FluentInFinance This isso not a merger. Is NBS saving Credit Suisse issuing money. Where are we going to?,0,0,0,https://twitter.com/LourencoOlivei9/status/1637603574745034753,2023-03-19 23:54:52+00:00
77,1.6376E+18,KathySm32253360,@CaitlinLong_ @CreditSuisse As we have known for years the SNB has made money out of literally NOTHING and bought Apple Stock.  Do you get what that means???,0,0,0,https://twitter.com/KathySm32253360/status/1637603561579085824,2023-03-19 23:54:48+00:00
78,1.6376E+18,paulkegger,"@spomboy @barnes_law My portfolio of short options and cds was backed by the 17b in Credit Suisse bonds that just went up in smoke.  

Oh well.",0,0,0,https://twitter.com/paulkegger/status/1637603559217811458,2023-03-19 23:54:48+00:00
79,1.6376E+18,freddiethekat,Signs of contagion: Europe's bank shares drop as high rates reality hits home https://t.co/5mxPtlwNUP #siliconvalleybankcollapse #interestrates #bonds #CreditSuisse #DeutscheBank,0,0,0,https://twitter.com/freddiethekat/status/1637603556483035136,2023-03-19 23:54:47+00:00
80,1.6376E+18,TradFiNews,CNBC Daily Open: UBS agrees to buy Credit Suisse https://t.co/CrRwfxJGJG,0,0,0,https://twitter.com/TradFiNews/status/1637603515844669440,2023-03-19 23:54:38+00:00
81,1.6376E+18,SomersetNews,"Thousands of British jobs at risk after Switzerland's largest bank #UBS agrees to buy troubled rival #CreditSuisse for $2bn: Swiss banks employ 11,000 staff in #London with heavy cuts now feared
via https://t.co/pkDXi8J7NK https://t.co/b3FXX8ECqe",2,0,0,https://twitter.com/SomersetNews/status/1637603488325574658,2023-03-19 23:54:31+00:00
82,1.6376E+18,FUnderwood33,"UBS agrees $3.25bn rescue deal for rival Credit Suisse

https://t.co/1LAkx0JqhG",0,0,0,https://twitter.com/FUnderwood33/status/1637603446542209024,2023-03-19 23:54:21+00:00
83,1.6376E+18,sagarashok240,"NOW - Swiss government confirms Credit Suisse takeover by UBS and says, ""the bankruptcy of a global systematically important bank would have caused irreparable economic turmoil.""https://t.co/kWAQ5fbqkH
#CreditSuisse #BREAKING  #Credit_Suisse #CS  #UBS #GME",0,0,0,https://twitter.com/sagarashok240/status/1637603441643069441,2023-03-19 23:54:20+00:00
84,1.6376E+18,faical_hakim,"What's going on, can't we change everything from banking into #IT #solutions that work for everyone? Credit Suisse  seems to have hard times in the money world. Why don't we change money markets into IT solution that work for the societies? This is the only way we can safe banks! https://t.co/ydwcRKnWYb",0,0,0,https://twitter.com/faical_hakim/status/1637603417429274624,2023-03-19 23:54:14+00:00
85,1.6376E+18,Neanderthal_V,@0xDarkholo @CreditSuisse lmfao,4,0,0,https://twitter.com/Neanderthal_V/status/1637603343995654145,2023-03-19 23:53:57+00:00
86,1.6376E+18,__goldfinger,Credit Suisse seems resolved. The contagion is rhetoric. These problems were not new. Markets decided they had enough with the bank. That was 700bn in risk. A big problem got resolved.,0,0,1,https://twitter.com/__goldfinger/status/1637603342892376065,2023-03-19 23:53:56+00:00
87,1.6376E+18,CharterhouseSq,"#CS #ThanksForTheMemories ~ this from April 2021 .. 
                                  Devastation at #CreditSuisse ..",1,0,0,https://twitter.com/CharterhouseSq/status/1637603311778971651,2023-03-19 23:53:49+00:00
88,1.6376E+18,SkyNewsAust,"Embattled banking giant Credit Suisse has been bought out by a rival institution in a $AUD4.5 billion deal to stem fears of an emerging financial crisis.

https://t.co/fuaqhjT8Ec",4,0,3,https://twitter.com/SkyNewsAust/status/1637603308105011201,2023-03-19 23:53:48+00:00
89,1.6376E+18,tangent24,"Bubble Watch: Bitcoin surges past $28,000 after UBS deal to buy Credit Suisse https://t.co/cmuocrh1oK",0,0,0,https://twitter.com/tangent24/status/1637603301242839040,2023-03-19 23:53:46+00:00
90,1.6376E+18,Risinsun09,The One Big Winner and Many Losers of UBS?? Credit Suisse?Rescue https://t.co/nvmLm8WT82,0,0,0,https://twitter.com/Risinsun09/status/1637603235639840775,2023-03-19 23:53:31+00:00
91,1.6376E+18,TheBrianEJohns,Emergency rescue of Credit Suisse as banking fears grow - BBC News https://t.co/BDlgbdrqnU via @YouTube,2,0,0,https://twitter.com/TheBrianEJohns/status/1637603235639840768,2023-03-19 23:53:31+00:00
92,1.6376E+18,GOPearetraitors,"@RileNFTs @balajis BTC will hit 100k one day. But today, this month, next month and even next year won't be the years.

This bump makes no sense. Outside FOMO pumps, no news outside bad news. Warren Buffet assuming banks while Credit Suisse tanks isn't bullish. 

Be wary of what we see. Very wary https://t.co/YVH2WmpJ98",1,0,0,https://twitter.com/GOPearetraitors/status/1637603209056231424,2023-03-19 23:53:24+00:00
93,1.6376E+18,rwang0,"MyPOV: do you feel more or less confident?  @ubs gets a $2B discount for ??CreditSuisse??
UBS Agrees to Buy Credit Suisse for More Than $3 Billion https://t.co/Ik9BdCmsVg",1,1,1,https://twitter.com/rwang0/status/1637603160238985216,2023-03-19 23:53:13+00:00
94,1.6376E+18,PortfolioRisk,Holders of $17bn of Credit Suisse bonds wiped out under UBS takeover https://t.co/IIvy2POYjy,0,0,0,https://twitter.com/PortfolioRisk/status/1637603158527442944,2023-03-19 23:53:12+00:00
95,1.6376E+18,Benzinga,$FRC | First Republic Bank Looms Large For U.S. Regulators After Credit Suisse Sale - WSJ,5,0,2,https://twitter.com/Benzinga/status/1637603138168320001,2023-03-19 23:53:07+00:00
96,1.6376E+18,LitecoinPR,The roof is on fire. ?????? @CreditSuisse ????????????,1,0,0,https://twitter.com/LitecoinPR/status/1637603122531934210,2023-03-19 23:53:04+00:00
97,1.6376E+18,StewartalsopIII,"USB is going to buy Credit Suisse for $3 billion.

In 2007 credit suisse was valued at $95 billion at its peak

In 2019 it was valued at $30 billion USD

Banks are not having a good time of it at the moment",4,0,0,https://twitter.com/StewartalsopIII/status/1637603117771669505,2023-03-19 23:53:03+00:00
98,1.6376E+18,LeValleyKelly,"In other news: The Swiss Government changed the law so @UBSschweiz could buy @CreditSuisse! Kind of Effed up! BUT!! now all those people who hold $16bn worth of Bonds get nothing for there $16bn. #BankingCrisis #Implosion
The bank is being sold for only 4% of book value. 
THIS??https://t.co/DvL7dAcp6B",0,0,0,https://twitter.com/LeValleyKelly/status/1637603112788557826,2023-03-19 23:53:01+00:00
99,1.6376E+18,News_By_Nick,$FRC | First Republic Bank Looms Large For U.S. Regulators After Credit Suisse Sale - WSJ https://t.co/X7pfOyGUST,0,0,1,https://twitter.com/News_By_Nick/status/1637603099773661184,2023-03-19 23:52:58+00:00
